From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival,Cost
Khamgaon,Pune,Rachna Travels,436,00:10:54,Non A/c,9:50:00 PM,8:44:00 AM,950
Khamgaon,Pune,Sangeetam Travels,436,00:10:54,A/c,9:00:00 PM,7:54:00 AM,950
Khamgaon,Pune,akash BUS AMRAVATI,436,00:06:00,Non A/c,9:00:00 PM,3:00:00 AM,2450
Khamgaon,Pune,akash BUS AMRAVATI,436,00:08:30,A/c,11:00:00 PM,7:30:00 AM,1470
Khamgaon,Pune,akash BUS AMRAVATI,436,00:06:00,Non A/c,12:00:00 AM,6:00:00 AM,2450
Khamgaon,Pune,akash BUS AMRAVATI,436,00:08:30,Non A/c,9:45:00 PM,6:15:00 AM,1470
Khamgaon,Dhule,Vidarbha Express,223,00:05:35,Non A/c,9:00:00 PM,2:35:00 AM,2170
Akot,Malegaon,Sheetal Travels Akola,80,00:02:00,Non A/c,7:00:00 PM,9:00:00 PM,8230
Akot,Shegaon,Sheetal Travels Akola,56,00:02:00,Non A/c,5:00:00 PM,7:00:00 PM,8170
Akot,Shegaon,Sheetal Travels Akola,56,00:02:45,Non A/c,6:15:00 PM,9:00:00 PM,5440
Akot,Shegaon,Sheetal Travels Akola,56,00:02:30,Non A/c,4:00:00 PM,6:30:00 PM,6170
Akot,Mehkar,Sheetal Travels Akola,154,00:03:30,Non A/c,7:00:00 PM,10:30:00 PM,4130
Akot,Aurangabad,Sheetal Travels Akola,273,00:07:00,Non A/c,4:00:00 PM,11:00:00 PM,1570
Akot,Jalna,Sheetal Travels Akola,217,00:06:00,Non A/c,4:00:00 PM,10:00:00 PM,1910
Akot,Jalna,Sheetal Travels Akola,217,00:06:30,Non A/c,5:00:00 PM,11:30:00 PM,1650
Akot,Khamgaon,Sheetal Travels Akola,74,00:03:00,Non A/c,4:00:00 PM,7:00:00 PM,4880
Akot,Khamgaon,Sheetal Travels Akola,74,00:03:15,Non A/c,6:15:00 PM,9:30:00 PM,4370
Akot,Khamgaon,Sheetal Travels Akola,74,00:03:00,Non A/c,5:00:00 PM,8:00:00 PM,4880
Akot,Akola,Sheetal Travels Akola,47,00:01:45,Non A/c,6:15:00 PM,8:00:00 PM,9580
